crop_type,growth_stage,soil_type,soil_moisture,temperature,humidity,rain_forecast,forecast_rainfall_mm,irrigation_method,disease_context,crop_kc,reference_et0,crop_etc,effective_precipitation_peff,soil_field_capacity,soil_wilting_point,action_code,urgency,water_requirement_mm
Wheat,Flowering,Clay Loam,42.0,38.4,58.6,Moderate,16.1,Flood / Surface,None / Healthy,1.15,4.72,5.43,10.4,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Rice,Maturity,Sandy Loam,34.5,28.0,43.0,None,0.0,Sub-surface Drip,None / Healthy,0.95,3.58,3.4,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Vegetative,Loamy,17.1,36.5,76.4,High,35.1,Flood / Surface,Tomato Target Spot,0.75,3.55,2.66,25.57,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Fruiting,Loamy,21.7,39.4,81.1,Low,3.8,Flood / Surface,None / Healthy,1.1,3.75,4.12,0.55,28.0,14.0,MAINTENANCE_DRIP,Normal,4.26
Tomato,Flowering,Loamy,27.0,34.0,61.5,None,0.0,Drip Irrigation,None / Healthy,1.15,3.88,4.46,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Potato,Fruiting,Sandy,9.4,23.4,35.9,None,0.0,Drip Irrigation,None / Healthy,1.15,2.97,3.42,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,4.03
Wheat,Vegetative,Sandy,11.1,20.8,67.7,None,0.0,Sprinkler (Overhead),None / Healthy,0.75,2.0,1.5,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,1.5
Cotton,Seedling,Loamy,22.1,26.7,67.0,None,0.0,Flood / Surface,Tomato Early Blight,0.45,2.6,1.17,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,1.5
Soybean,Fruiting,Black Soil,32.7,29.9,35.4,Low,2.0,Sub-surface Drip,None / Healthy,1.05,4.2,4.41,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,4.51
Cotton,Seedling,Sandy,4.6,35.0,62.5,Low,1.7,Sub-surface Drip,None / Healthy,0.45,3.98,1.79,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Sugarcane,Seedling,Sandy,8.5,14.4,44.4,None,0.0,Flood / Surface,Tomato Early Blight,0.45,2.0,0.9,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Wheat,Vegetative,Clay Loam,47.9,18.2,57.3,Low,3.3,Drip Irrigation,None / Healthy,0.75,2.0,1.5,0.13,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Fruiting,Clay Loam,15.1,31.0,83.4,Moderate,17.1,Sprinkler (Overhead),None / Healthy,1.2,2.7,3.24,11.18,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,4.07
Tomato,Seedling,Black Soil,24.2,40.4,26.5,Low,1.6,Drip Irrigation,None / Healthy,0.6,6.82,4.09,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,5.26
Rice,Seedling,Sandy,17.6,41.3,20.6,High,43.3,Sprinkler (Overhead),Tomato Septoria Leaf Spot,1.05,7.38,7.75,32.11,15.0,6.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Potato,Seedling,Black Soil,33.0,31.2,92.9,None,0.0,Drip Irrigation,None / Healthy,0.5,2.73,1.36,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,1.5
Cotton,Flowering,Sandy,9.2,17.4,46.0,None,0.0,Drip Irrigation,None / Healthy,1.2,2.0,2.4,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Maturity,Clay Loam,34.9,36.8,60.3,None,0.0,Drip Irrigation,Tomato Septoria Leaf Spot,0.85,4.38,3.72,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Vegetative,Sandy,11.6,37.1,28.2,None,0.0,Drip Irrigation,Tomato Yellow Leaf Curl Virus,0.75,6.0,4.5,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,4.56
Tomato,Fruiting,Black Soil,26.9,21.3,83.6,None,0.0,Sprinkler (Overhead),Potato Late Blight,1.2,2.0,2.4,0.0,40.0,22.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Potato,Flowering,Black Soil,46.5,23.1,62.3,High,28.3,Sprinkler (Overhead),None / Healthy,1.15,2.23,2.56,20.12,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Soybean,Maturity,Loamy,23.7,18.9,22.5,Low,5.9,Flood / Surface,Tomato Early Blight,0.5,2.41,1.21,2.26,28.0,14.0,MAINTENANCE_DRIP,Normal,1.5
Cotton,Flowering,Black Soil,23.6,14.6,37.7,Low,2.3,Drip Irrigation,Potato Late Blight,1.2,2.0,2.4,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Tomato,Maturity,Clay Loam,29.9,41.7,32.8,Moderate,7.0,Drip Irrigation,None / Healthy,0.8,6.77,5.42,3.11,34.0,18.0,MAINTENANCE_DRIP,Normal,5.5
Potato,Seedling,Black Soil,38.0,41.5,48.2,High,42.1,Sprinkler (Overhead),Tomato Early Blight,0.5,5.85,2.92,31.17,40.0,22.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Rice,Maturity,Sandy Loam,20.7,24.1,70.4,High,24.5,Drip Irrigation,Pepper Bell Bacterial Spot,0.95,2.17,2.06,17.14,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Pepper Bell,Seedling,Loamy,22.5,38.3,81.5,Low,3.2,Flood / Surface,None / Healthy,0.6,3.6,2.16,0.09,28.0,14.0,MAINTENANCE_DRIP,Normal,1.87
Potato,Fruiting,Loamy,20.9,22.0,47.8,Moderate,10.6,Drip Irrigation,Potato Late Blight,1.15,2.44,2.81,5.99,28.0,14.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Tomato,Flowering,Sandy Loam,17.0,28.7,63.2,None,0.0,Drip Irrigation,Potato Late Blight,1.15,3.01,3.46,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,3.51
Wheat,Maturity,Clay Loam,29.7,39.7,83.5,None,0.0,Drip Irrigation,None / Healthy,0.35,3.79,1.33,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,1.5
Pepper Bell,Flowering,Loamy,29.7,37.9,75.8,Moderate,17.1,Drip Irrigation,Potato Late Blight,1.05,3.77,3.96,11.16,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Cotton,Vegetative,Sandy Loam,8.3,33.5,32.8,None,0.0,Flood / Surface,None / Healthy,0.75,5.03,3.77,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,4.57
Corn,Flowering,Sandy Loam,16.0,19.7,31.4,High,44.8,Drip Irrigation,None / Healthy,1.2,2.39,2.87,33.37,22.0,10.0,DELAY_RAIN_EXPECTED,Low,0.0
Wheat,Vegetative,Loamy,17.1,37.5,44.3,Moderate,17.7,Flood / Surface,Tomato Yellow Leaf Curl Virus,0.75,5.28,3.96,11.7,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,4.74
Rice,Seedling,Sandy,4.0,38.4,35.6,None,0.0,Flood / Surface,None / Healthy,1.05,5.91,6.21,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Wheat,Fruiting,Clay Loam,26.3,22.6,90.1,None,0.0,Drip Irrigation,None / Healthy,0.85,2.0,1.7,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,1.76
Cotton,Vegetative,Sandy Loam,12.1,23.2,81.1,None,0.0,Sprinkler (Overhead),None / Healthy,0.75,2.0,1.5,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Cotton,Fruiting,Loamy,19.4,22.3,23.2,Low,4.4,Sub-surface Drip,None / Healthy,0.85,3.08,2.62,1.04,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Rice,Flowering,Black Soil,30.8,14.8,25.8,High,37.8,Sprinkler (Overhead),None / Healthy,1.25,2.0,2.5,27.72,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Soybean,Fruiting,Black Soil,37.0,38.8,43.9,None,0.0,Drip Irrigation,None / Healthy,1.05,5.57,5.85,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Fruiting,Sandy Loam,18.2,36.5,27.6,None,0.0,Sprinkler (Overhead),None / Healthy,1.1,5.9,6.49,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,5.5
Potato,Vegetative,Sandy,14.8,39.2,40.9,High,19.6,Drip Irrigation,Tomato Early Blight,0.8,5.79,4.63,13.18,15.0,6.0,DELAY_RAIN_EXPECTED,Low,0.0
Rice,Vegetative,Sandy,4.0,23.8,82.1,Low,3.7,Sprinkler (Overhead),None / Healthy,1.15,2.0,2.3,0.46,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Rice,Flowering,Sandy Loam,11.2,35.5,82.2,None,0.0,Drip Irrigation,None / Healthy,1.25,3.25,4.06,0.0,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,5.28
Wheat,Maturity,Loamy,33.1,28.4,25.9,Moderate,7.4,Sprinkler (Overhead),Tomato Target Spot,0.35,4.24,1.48,3.41,28.0,14.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Wheat,Vegetative,Clay Loam,31.4,17.1,79.7,Low,3.8,Drip Irrigation,None / Healthy,0.75,2.0,1.5,0.56,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Vegetative,Loamy,18.4,18.7,34.9,None,0.0,Flood / Surface,None / Healthy,0.85,2.15,1.83,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Potato,Maturity,Clay Loam,20.8,29.7,21.7,High,41.5,Sub-surface Drip,None / Healthy,0.75,4.67,3.5,30.7,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,4.07
Potato,Seedling,Loamy,24.1,27.0,53.0,None,0.0,Drip Irrigation,None / Healthy,0.5,3.09,1.54,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,1.5
Tomato,Seedling,Sandy Loam,24.8,23.6,52.3,None,0.0,Drip Irrigation,None / Healthy,0.6,2.58,1.55,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Flowering,Black Soil,33.9,27.2,88.1,Low,3.0,Flood / Surface,None / Healthy,1.15,2.26,2.6,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,2.44
Sugarcane,Fruiting,Black Soil,28.4,31.7,87.0,Low,2.7,Flood / Surface,Potato Late Blight,1.25,2.78,3.47,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,4.21
Tomato,Fruiting,Black Soil,46.7,36.3,44.0,Low,4.5,Sprinkler (Overhead),None / Healthy,1.2,5.08,6.1,1.13,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Cotton,Vegetative,Loamy,28.7,20.5,84.8,High,39.5,Drip Irrigation,Tomato Septoria Leaf Spot,0.75,2.0,1.5,29.08,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Seedling,Sandy,4.3,29.4,38.4,Low,4.8,Sprinkler (Overhead),None / Healthy,0.45,3.99,1.8,1.36,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Rice,Seedling,Sandy Loam,17.8,23.7,94.6,None,0.0,Sprinkler (Overhead),None / Healthy,1.05,2.0,2.1,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,2.14
Wheat,Vegetative,Sandy Loam,20.3,37.8,20.8,None,0.0,Sprinkler (Overhead),Tomato Septoria Leaf Spot,0.75,6.53,4.9,0.0,22.0,10.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Tomato,Flowering,Black Soil,24.0,29.7,75.4,None,0.0,Drip Irrigation,Potato Late Blight,1.15,2.71,3.12,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,4.07
Sugarcane,Vegetative,Black Soil,18.4,29.2,48.1,None,0.0,Drip Irrigation,Tomato Target Spot,0.85,3.61,3.07,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,4.23
Corn,Vegetative,Black Soil,33.4,36.6,35.7,High,23.1,Sub-surface Drip,None / Healthy,0.85,5.53,4.7,15.95,40.0,22.0,DELAY_RAIN_EXPECTED,Low,0.0
Sugarcane,Flowering,Black Soil,33.0,26.7,36.9,Low,5.9,Sprinkler (Overhead),None / Healthy,1.25,3.55,4.44,2.25,40.0,22.0,MAINTENANCE_DRIP,Normal,4.64
Pepper Bell,Flowering,Loamy,10.4,24.8,87.4,None,0.0,Drip Irrigation,Tomato Septoria Leaf Spot,1.05,2.0,2.1,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Sugarcane,Vegetative,Sandy Loam,22.8,17.2,80.8,High,21.4,Sprinkler (Overhead),Tomato Target Spot,0.85,2.0,1.7,14.58,22.0,10.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Cotton,Vegetative,Sandy Loam,11.6,36.5,71.6,Moderate,10.0,Sprinkler (Overhead),None / Healthy,0.75,3.78,2.83,5.52,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.64
Potato,Vegetative,Clay Loam,27.0,30.9,76.3,High,42.6,Drip Irrigation,None / Healthy,0.8,2.83,2.26,31.55,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Cotton,Flowering,Sandy Loam,23.6,16.8,57.0,None,0.0,Sub-surface Drip,Pepper Bell Bacterial Spot,1.2,2.0,2.4,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Corn,Vegetative,Sandy Loam,7.8,35.6,76.3,Low,5.2,Drip Irrigation,Tomato Target Spot,0.85,3.44,2.92,1.67,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.75
Wheat,Fruiting,Clay Loam,33.9,18.1,87.8,None,0.0,Flood / Surface,Tomato Target Spot,0.85,2.0,1.7,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Potato,Seedling,Clay Loam,46.5,18.5,87.1,High,40.6,Drip Irrigation,Tomato Early Blight,0.5,2.0,1.0,30.01,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Corn,Fruiting,Clay Loam,26.4,25.1,65.5,Moderate,13.1,Sprinkler (Overhead),Tomato Target Spot,1.1,2.43,2.67,7.95,34.0,18.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Sugarcane,Maturity,Sandy,10.9,37.4,64.3,None,0.0,Flood / Surface,None / Healthy,0.7,4.27,2.99,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,3.11
Cotton,Maturity,Clay Loam,35.8,34.6,43.1,Low,3.3,Drip Irrigation,None / Healthy,0.55,4.79,2.63,0.14,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Fruiting,Black Soil,27.5,23.8,42.9,None,0.0,Sub-surface Drip,None / Healthy,0.85,2.86,2.43,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Potato,Fruiting,Sandy,10.7,24.3,82.1,None,0.0,Sub-surface Drip,Tomato Septoria Leaf Spot,1.15,2.0,2.3,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,2.15
Rice,Maturity,Sandy,10.1,33.2,75.2,None,0.0,Sprinkler (Overhead),None / Healthy,0.95,3.17,3.01,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,3.01
Wheat,Fruiting,Clay Loam,28.0,33.6,58.5,Low,1.7,Sprinkler (Overhead),Tomato Target Spot,0.85,3.94,3.35,0.0,34.0,18.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Pepper Bell,Vegetative,Loamy,20.6,24.6,30.8,None,0.0,Sub-surface Drip,None / Healthy,0.8,3.33,2.66,0.0,28.0,14.0,MAINTENANCE_DRIP,Normal,2.63
Sugarcane,Fruiting,Sandy,10.9,41.5,20.9,Low,3.4,Sprinkler (Overhead),Potato Late Blight,1.25,7.4,9.25,0.25,15.0,6.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Cotton,Fruiting,Sandy,6.3,17.5,51.2,Moderate,12.6,Drip Irrigation,None / Healthy,0.85,2.0,1.7,7.6,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Cotton,Flowering,Black Soil,30.5,25.9,23.0,Low,4.2,Sprinkler (Overhead),Tomato Septoria Leaf Spot,1.2,3.81,4.57,0.89,40.0,22.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Tomato,Flowering,Sandy,6.8,15.0,22.8,None,0.0,Sprinkler (Overhead),None / Healthy,1.15,2.0,2.3,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Cotton,Seedling,Loamy,16.8,18.5,43.2,Moderate,10.6,Sprinkler (Overhead),None / Healthy,0.45,2.0,0.9,6.01,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Wheat,Vegetative,Loamy,26.8,24.4,43.8,None,0.0,Drip Irrigation,None / Healthy,0.75,2.93,2.2,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Rice,Vegetative,Black Soil,24.7,31.4,34.4,Low,2.1,Drip Irrigation,Tomato Septoria Leaf Spot,1.15,4.53,5.21,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,6.85
Cotton,Maturity,Sandy Loam,35.2,37.3,67.8,Low,5.4,Drip Irrigation,None / Healthy,0.55,4.09,2.25,1.85,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Maturity,Sandy Loam,23.3,19.5,61.1,None,0.0,Drip Irrigation,None / Healthy,0.7,2.0,1.4,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Flowering,Sandy Loam,22.1,33.5,90.9,Low,4.9,Sub-surface Drip,Potato Late Blight,1.15,3.0,3.45,1.39,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Corn,Flowering,Loamy,16.8,24.3,23.0,Low,5.5,Flood / Surface,None / Healthy,1.2,3.48,4.18,1.93,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,5.15
Tomato,Fruiting,Sandy,16.9,27.8,71.5,Low,5.6,Drip Irrigation,None / Healthy,1.2,2.6,3.12,1.99,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Vegetative,Sandy Loam,28.4,22.3,49.0,None,0.0,Sub-surface Drip,None / Healthy,0.75,2.46,1.84,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Tomato,Flowering,Black Soil,28.3,21.0,27.1,None,0.0,Drip Irrigation,None / Healthy,1.15,2.74,3.15,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,4.09
Pepper Bell,Flowering,Loamy,23.5,24.6,54.7,Moderate,8.8,Drip Irrigation,None / Healthy,1.05,2.66,2.79,4.54,28.0,14.0,DELAY_RAIN_EXPECTED,Moderate,0.0
Wheat,Fruiting,Loamy,13.9,39.3,31.3,None,0.0,Flood / Surface,Tomato Target Spot,0.85,6.33,5.38,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Cotton,Flowering,Black Soil,26.4,30.2,26.9,None,0.0,Drip Irrigation,None / Healthy,1.2,4.57,5.48,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,7.0
Tomato,Seedling,Black Soil,38.0,28.1,91.3,Low,1.5,Drip Irrigation,None / Healthy,0.6,2.36,1.42,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Corn,Fruiting,Clay Loam,27.8,23.0,76.8,Moderate,15.6,Flood / Surface,None / Healthy,1.1,2.0,2.2,10.0,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Potato,Vegetative,Clay Loam,28.7,30.5,29.3,Low,1.9,Drip Irrigation,None / Healthy,0.8,4.56,3.65,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,3.78
Sugarcane,Seedling,Loamy,19.0,29.4,48.6,None,0.0,Flood / Surface,None / Healthy,0.45,3.63,1.63,0.0,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Cotton,Vegetative,Clay Loam,32.1,18.2,51.3,None,0.0,Flood / Surface,None / Healthy,0.75,2.0,1.5,0.0,34.0,18.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Maturity,Sandy,15.2,15.3,72.8,Low,4.6,Drip Irrigation,None / Healthy,0.85,2.0,1.7,1.22,15.0,6.0,OPTIMAL_STANDBY,Low,0.0
Pepper Bell,Maturity,Loamy,25.9,40.8,28.0,None,0.0,Drip Irrigation,None / Healthy,0.85,6.84,5.81,0.0,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Rice,Vegetative,Black Soil,22.8,20.6,93.4,Low,5.4,Sub-surface Drip,None / Healthy,1.15,2.0,2.3,1.79,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Corn,Flowering,Sandy,11.6,18.9,50.3,Low,1.8,Drip Irrigation,None / Healthy,1.2,2.0,2.4,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,2.35
Cotton,Fruiting,Sandy Loam,10.5,32.9,76.8,Moderate,10.6,Sprinkler (Overhead),None / Healthy,0.85,3.06,2.6,6.01,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Wheat,Flowering,Clay Loam,29.1,36.6,49.2,High,31.6,Drip Irrigation,None / Healthy,1.15,4.88,5.61,22.8,34.0,18.0,DELAY_RAIN_EXPECTED,Low,0.0
Potato,Flowering,Loamy,29.1,19.2,81.4,High,33.3,Sub-surface Drip,None / Healthy,1.15,2.0,2.3,24.11,28.0,14.0,DELAY_RAIN_EXPECTED,Low,0.0
Corn,Maturity,Clay Loam,29.0,20.5,36.6,None,0.0,Sub-surface Drip,None / Healthy,0.6,2.43,1.46,0.0,34.0,18.0,MAINTENANCE_DRIP,Normal,1.5
Sugarcane,Maturity,Sandy Loam,17.9,41.3,29.9,Low,3.0,Sprinkler (Overhead),None / Healthy,0.7,6.85,4.79,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,4.66
Tomato,Fruiting,Clay Loam,22.2,36.8,87.2,None,0.0,Drip Irrigation,Tomato Early Blight,1.2,3.41,4.09,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,5.07
Cotton,Vegetative,Sandy,10.7,15.7,63.9,Low,2.5,Flood / Surface,None / Healthy,0.75,2.0,1.5,0.0,15.0,6.0,MAINTENANCE_DRIP,Normal,1.5
Rice,Fruiting,Loamy,12.0,38.4,64.3,Moderate,13.3,Drip Irrigation,Tomato Yellow Leaf Curl Virus,1.2,4.43,5.32,8.14,28.0,14.0,IRRIGATE_IMMEDIATELY,Immediate,6.72
Pepper Bell,Seedling,Sandy Loam,23.7,31.5,25.4,None,0.0,Sprinkler (Overhead),None / Healthy,0.6,4.91,2.95,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Corn,Seedling,Black Soil,37.2,23.7,83.7,None,0.0,Sprinkler (Overhead),Pepper Bell Bacterial Spot,0.4,2.0,0.8,0.0,40.0,22.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Wheat,Vegetative,Loamy,25.6,33.4,57.5,High,24.1,Sprinkler (Overhead),Tomato Septoria Leaf Spot,0.75,3.95,2.96,16.76,28.0,14.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Corn,Flowering,Black Soil,36.6,26.8,23.6,None,0.0,Sub-surface Drip,None / Healthy,1.2,3.98,4.78,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Sugarcane,Seedling,Sandy,4.3,30.5,79.2,None,0.0,Drip Irrigation,None / Healthy,0.45,2.67,1.2,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Flowering,Clay Loam,22.5,33.1,78.5,Moderate,11.5,Drip Irrigation,None / Healthy,1.05,3.02,3.17,6.7,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,3.7
Pepper Bell,Maturity,Clay Loam,23.9,41.3,88.5,None,0.0,Drip Irrigation,Potato Late Blight,0.85,3.99,3.39,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,4.28
Pepper Bell,Flowering,Clay Loam,24.4,32.0,45.3,Low,3.5,Drip Irrigation,Tomato Early Blight,1.05,4.22,4.43,0.28,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,5.58
Corn,Maturity,Black Soil,37.4,29.1,57.3,None,0.0,Drip Irrigation,None / Healthy,0.6,3.27,1.96,0.0,40.0,22.0,OPTIMAL_STANDBY,Low,0.0
Wheat,Fruiting,Sandy Loam,17.1,20.9,21.4,None,0.0,Drip Irrigation,None / Healthy,0.85,2.83,2.41,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,2.17
Wheat,Fruiting,Black Soil,31.2,23.9,21.3,None,0.0,Sub-surface Drip,Tomato Target Spot,0.85,3.46,2.94,0.0,40.0,22.0,MAINTENANCE_DRIP,Normal,2.95
Soybean,Flowering,Sandy,7.3,30.4,83.2,None,0.0,Drip Irrigation,None / Healthy,1.15,2.63,3.02,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.7
Pepper Bell,Flowering,Black Soil,32.5,38.5,58.2,Low,4.2,Flood / Surface,None / Healthy,1.05,4.77,5.01,0.89,40.0,22.0,MAINTENANCE_DRIP,Normal,4.91
Cotton,Fruiting,Sandy,11.6,16.0,56.9,Low,4.8,Drip Irrigation,None / Healthy,0.85,2.0,1.7,1.33,15.0,6.0,MAINTENANCE_DRIP,Normal,1.58
Rice,Flowering,Clay Loam,16.9,16.1,32.5,Low,3.9,Sprinkler (Overhead),Tomato Target Spot,1.25,2.0,2.5,0.65,34.0,18.0,SUSPEND_OVERHEAD_BLIGHT,Immediate,0.0
Soybean,Seedling,Clay Loam,18.4,41.5,47.9,Moderate,17.0,Drip Irrigation,None / Healthy,0.4,5.87,2.35,11.08,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Vegetative,Clay Loam,16.9,40.9,32.8,None,0.0,Sprinkler (Overhead),None / Healthy,0.8,6.6,5.28,0.0,34.0,18.0,IRRIGATE_IMMEDIATELY,Immediate,6.59
Tomato,Seedling,Loamy,25.2,20.5,56.3,Moderate,12.1,Drip Irrigation,None / Healthy,0.6,2.01,1.21,7.14,28.0,14.0,OPTIMAL_STANDBY,Low,0.0
Potato,Flowering,Black Soil,27.3,16.9,45.3,None,0.0,Flood / Surface,None / Healthy,1.15,2.0,2.3,0.0,40.0,22.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Pepper Bell,Seedling,Sandy,4.5,30.7,24.5,None,0.0,Sprinkler (Overhead),None / Healthy,0.6,4.77,2.86,0.0,15.0,6.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
Tomato,Flowering,Sandy Loam,16.3,38.9,41.6,None,0.0,Drip Irrigation,Tomato Early Blight,1.15,5.69,6.54,0.0,22.0,10.0,MAINTENANCE_DRIP,Normal,5.5
Cotton,Maturity,Sandy Loam,19.9,37.7,73.5,None,0.0,Sprinkler (Overhead),None / Healthy,0.55,3.85,2.12,0.0,22.0,10.0,OPTIMAL_STANDBY,Low,0.0
Soybean,Vegetative,Sandy Loam,8.7,14.8,23.0,Moderate,7.9,Sub-surface Drip,Tomato Septoria Leaf Spot,0.7,2.0,1.4,3.8,22.0,10.0,IRRIGATE_IMMEDIATELY,Immediate,3.5
